"host","records_per_host","avg_bow_size","min_bow_size","max_bow_size"
"data.nanoos.org",59,992,9,2840
"quechua.ucla.edu",59,11731,920,25480
"www.plymouth.edu",59,22,22,22
"www.dlese.org",59,1054,10,15313
"www.cpp.edu",58,8,1,90
"faculty.salisbury.edu",58,9,1,40
"ceprofs.tamu.edu",58,20,2,193
"www.wipo.int",58,2986,13,18420
"www.ecb.europa.eu",58,6908,38,17568
"www.public.iastate.edu",58,53,1,1318
"www.cs.duke.edu",58,14,2,74
"scholarspace.manoa.hawaii.edu",57,1472,11,12186
"scholarsbank.uoregon.edu",57,269,10,832
"www.geostor.arkansas.gov",57,321,14,6993
"ptolemy.eecs.berkeley.edu",57,1785,44,12718
"www.tapir.caltech.edu",57,772,38,5612
"opendap.co-ops.nos.noaa.gov",57,213,1,5643
"web.cecs.pdx.edu",57,14,1,253
"imbrium.mit.edu",57,7,6,25
"apst.stsci.edu",57,4421,2,13914
"edcftp.cr.usgs.gov",56,213,12,1365
"asim.csail.mit.edu",56,1815,38,14466
"www.sec.gov",56,5512,26,36774
"crdl.usg.edu",56,219,112,550
"mirror.inode.at",56,7642,11,52780
"tools.ietf.org",56,4620,20,12437
"www.d.umn.edu",55,1173,2,14165
"omeka.colorado.edu",55,186,38,350
"publicdatasets.data.npolar.no",55,106,3,1009
"www.ling.helsinki.fi",55,598,374,805
"www.flloc.soton.ac.uk",55,856,373,1169
"lecomarquage.service-public.fr",55,659,73,1685
"www.med.unc.edu",54,213,6,839
"demo.ckan.org",54,102,5,311
"www.erh.noaa.gov",54,1433,2,11531
"www.geotraces.org",54,47,45,51
"tutorials.ischool.utexas.edu",54,48,37,199
"msdisweb.missouri.edu",54,2652,19,7007
"issue.d4science.research-infrastructures.eu",54,267,4,4444
"settlement.arc.nasa.gov",53,4,2,10
"www.etsu.edu",53,235,2,652
"www.cob.sjsu.edu",53,7,2,20
"ori.edina.ac.uk",53,1074,39,21849
"www502.regione.toscana.it",53,40,16,58
"photos.msu.edu",53,9,8,9
"lasp.colorado.edu",53,280,40,313
"fragis.fra.dot.gov",53,2308,10,6993
"cvs.bio.unc.edu",52,,,
"www.webapps.nwfsc.noaa.gov",52,2510,10,6993
"www.datanucleus.org",52,87,3,2218
"waterresources.rajasthan.gov.in",52,64,4,81
"c3grid1.dkrz.de",52,2761,502,6090
"mospace.umsystem.edu",52,1240,11,6527
"luq2.lternet.edu",52,3912,2029,12818
"infra.clarin.eu",51,1286,2,56354
"entoweb.okstate.edu",51,8,8,8
"data.honolulu.gov",51,3146,3,12419
"ws04.iula.upf.edu",51,928,274,1718
"pds.jpl.nasa.gov",51,2022,13,8822
"geonetwork4.fao.org",51,47,34,292
"data.somervillema.gov",51,2594,2,19736
"district.bluegrass.kctcs.edu",50,8,3,12
"bmrb.wisc.edu",50,4635,55,24768
"sa.wustl.edu",50,,,
"data.wien.gv.at",50,2110,8,23708
"gitlab.flux.utah.edu",50,186,1,685
"www.stat.go.jp",50,,,
"www.ceos.org",50,39,35,39
"demo.mapserver.org",50,41,2,246
"www.trinity.edu",50,122,2,548
