"num_responses","xpath"
9,"MD_Metadata/spatialRepresentationInfo/MD_GridSpatialRepresentation/cellGeometry/MD_CellGeometryCode"
9,"GetRecordByIdResponse/MD_Metadata/identificationInfo/SV_ServiceIdentification/containsOperations/SV_OperationMetadata/DCP/DCPList"
9,"MD_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LI_Source/sourceCitation/CI_Citation/presentationForm/CI_PresentationFormCode"
9,"MD_Metadata/identificationInfo/MD_DataIdentification/pointOfContact/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/function/CI_OnLineFunctionCode"
9,"MD_Metadata/spatialRepresentationInfo/MD_GridSpatialRepresentation/axisDimensionProperties/MD_Dimension/dimensionName/MD_DimensionNameTypeCode"
9,"MD_Metadata/distributionInfo/MD_Distribution/distributor/MD_Distributor/distributorTransferOptions/MD_DigitalTransferOptions/offLine/MD_Medium/name/MD_MediumNameCode"
9,"MI_Metadata/distributionInfo/MD_Distribution/distributionFormat/MD_Format/formatDistributor/MD_Distributor/distributorContact/CI_ResponsibleParty/role/CI_RoleCode"
8,"MD_Metadata/locale/PT_Locale/languageCode/LanguageCode"
8,"MD_Metadata/contact/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/function/CI_OnLineFunctionCode"
8,"MD_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/function/CI_OnLineFunctionCode"
8,"MD_Metadata/locale/PT_Locale/characterEncoding/MD_CharacterSetCode"
8,"MD_Metadata/locale/PT_Locale/country/Country"
7,"MD_Metadata/distributionInfo/MD_Distribution/transferOptions/MD_DigitalTransferOptions/onLine/CI_OnlineResource/function/CI_onLineFunctionCode"
7,"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/processor/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/function/CI_OnLineFunctionCode"
6,"MD_Metadata/identificationInfo/SV_ServiceIdentification/descriptiveKeywords/MD_Keywords/type/MD_KeywordTypeCode"
