"response_id","age","protocol","num_nondigital","num_offline","num_online"
169269,"2006-01-01","ISO",0,0,1
169350,"2012-01-01","ISO",0,0,0
169402,"2015-01-01","FGDC",0,0,0
169474,"2012-01-01","FGDC",0,0,0
169491,"2013-01-01","FGDC",0,0,0
169493,"","ISO",0,0,2
169542,"2015-01-01","ISO",0,0,2
169687,"2015-01-01","ISO",0,0,1
169765,"2006-01-01","FGDC",0,0,1
169768,"2007-01-01","FGDC",0,1,3
169811,"2014-01-01","ISO",0,0,1
169879,"","ISO",0,0,0
169890,"2014-01-01","ISO",0,0,3
169919,"2013-01-01","ISO",0,0,2
169979,"2008-01-01","FGDC",0,0,2
170028,"2014-01-01","FGDC",0,0,0
170122,"2012-01-01","FGDC",0,0,0
170136,"2007-01-01","ISO",0,0,1
170158,"2010-01-01","ISO",0,0,1
170166,"2011-01-01","FGDC",0,0,1
170245,"2014-01-01","FGDC",0,0,1
170254,"2015-01-01","FGDC",0,0,0
170355,"2014-01-01","ISO",0,0,1
170403,"2012-01-01","ISO",0,0,1
170440,"2004-01-01","FGDC",0,0,4
170473,"2013-01-01","ISO",0,0,1
170502,"2014-01-01","ISO",0,0,10
170554,"2014-01-01","ISO",0,0,1
170725,"2014-01-01","FGDC",0,0,5
170778,"2015-01-01","ISO",0,0,3
170870,"2011-01-01","FGDC",0,0,0
170931,"","ISO",0,0,1
170958,"2005-01-01","FGDC",0,0,0
171002,"2008-01-01","FGDC",0,0,2
171138,"2007-01-01","FGDC",0,0,0
171228,"2013-01-01","ISO",0,0,1
171303,"","ISO",0,0,1
171308,"2007-01-01","FGDC",0,1,0
171345,"2003-01-01","FGDC",0,0,2
171395,"","ISO",0,0,4
171538,"1995-01-01","FGDC",0,0,3
171618,"2014-01-01","ISO",0,0,7
171666,"2012-01-01","FGDC",0,0,0
171696,"2009-01-01","FGDC",0,3,3
171727,"1998-01-01","FGDC",0,0,0
171760,"2012-01-01","ISO",0,0,0
171772,"2015-01-01","ISO",0,0,1
171876,"2015-01-01","FGDC",0,0,0
172067,"2004-01-01","FGDC",0,0,3
172088,"2010-01-01","FGDC",0,0,0
172159,"2013-01-01","ISO",0,0,3
172173,"2014-01-01","ISO",0,0,1
172283,"2014-01-01","FGDC",0,0,0
172457,"2011-01-01","FGDC",0,0,1
172460,"2015-01-01","FGDC",0,0,1
172496,"2012-01-01","ISO",0,0,0
172565,"2015-01-01","FGDC",0,0,0
172609,"","ISO",0,0,2
172651,"","ISO",0,0,1
172687,"","ISO",0,0,0
172690,"2014-01-01","ISO",0,0,2
172740,"","ISO",0,0,3
172756,"2009-01-01","FGDC",0,0,0
172757,"2015-01-01","FGDC",0,0,0
172838,"","ISO",0,0,5
173208,"2013-01-01","FGDC",0,0,0
173249,"2004-01-01","FGDC",0,0,0
173294,"2007-01-01","ISO",0,0,3
173299,"","ISO",0,0,1
