"tag","match_type","avg_ids"
"metadata/eainfo/detailed/attr/attrdef","urn",1.14
"metadata/eainfo/detailed/attr/attrdefs","uuid",1.00
"metadata/eainfo/detailed/attr/attrdomv/codesetd/codesetn","urn",1.00
"metadata/eainfo/detailed/attr/attrdomv/edom/edomvd","cooluri",1.00
"metadata/eainfo/detailed/attr/attrdomv/edom/edomvd","urn",1.00
"metadata/eainfo/detailed/attr/attrdomv/rdom/attrunit","urn",1.00
"metadata/eainfo/detailed/attr/attrdomv/rdom/rdommax","urn",1.00
"metadata/eainfo/detailed/attr/attrdomv/udom","cooluri",2.00
"metadata/eainfo/detailed/attr/attrdomv/udom","urn",1.00
"metadata/eainfo/detailed/attr/attrlabl","urn",1.00
"metadata/eainfo/detailed/attr/attrvai/attrva","md5",1.00
"metadata/eainfo/detailed/enttyp/enttypds","urn",1.00
"metadata/eainfo/overview/eadetcit","doi",1.67
"metadata/eainfo/overview/eadetcit","md5",1.00
"metadata/eainfo/overview/eadetcit","urn",1.00
"metadata/eainfo/overview/eaover","md5",1.00
"metadata/eainfo/overview/eaover","urn",1.00
"metadata/eainfo/overview/eaover","doi",1.00
"metadata/eainfo/overview/eaover","cooluri",1.00
"metadata/Esri/DataProperties/lineage/Process","uuid",40.33
"metadata/Esri/Locator/Properties/CLSID","uuid",1.00
"metadata/Esri/Locator/Properties/UICLSID","uuid",1.00
"metadata/Esri/MetaID","uuid",1.00
"metadata/Esri/PublishedDocID","uuid",1.00
"metadata/identifier","urn",1.00
"metadata/identifier/@qualifier","text",1.36
"metadata/idinfo/accconst","urn",1.00
"metadata/idinfo/agginfo/compinfo/aggmemid/datsetid","text",1.00
"metadata/idinfo/agginfo/conpckid/datsetid","text",1.00
"metadata/idinfo/browse/browseem","cooluri",61.00
"metadata/idinfo/browse/browseem","md5",1.00
"metadata/idinfo/browse/browsen","cooluri",1.00
"metadata/idinfo/browse/browsen","uuid",1.00
"metadata/idinfo/browse/browsen","doi",1.00
"metadata/idinfo/citation/citeinfo/lworkcit/citeinfo/onlink","doi",1.85
"metadata/idinfo/citation/citeinfo/lworkcit/citeinfo/onlink","uuid",1.00
"metadata/idinfo/citation/citeinfo/lworkcit/citeinfo/onlink","md5",1.00
"metadata/idinfo/citation/citeinfo/lworkcit/citeinfo/onlink","urn",1.00
"metadata/idinfo/citation/citeinfo/lworkcit/citeinfo/serinfo/issue","doi",1.00
"metadata/idinfo/citation/citeinfo/onlink","doi",1.04
"metadata/idinfo/citation/citeinfo/onlink","urn",1.04
