"id","age","protocol","num_quality_tokens","num_quality_elements"
220517,"2004-07-01","""ISO""",32,2
535307,"2006-04-01","""ISO""",4246,2
425549,"2011-03-01","""ISO""",138,2
441111,"2007-01-01","""ISO""",190,2
596078,"2009-10-01","""ISO""",190,2
254445,"2009-03-01","""ISO""",188,2
350572,"1998-07-01","""ISO""",16,2
504226,"2012-06-01","""ISO""",30,2
717167,"2013-02-01","""ISO""",138,2
271939,"2013-06-01","""ISO""",16,2
471099,"9999-01-01","""ISO""",34,2
579847,"2014-12-01","""ISO""",138,2
229040,"2014-03-01","""ISO""",32,2
207694,"2014-09-01","""ISO""",168,2
346451,"2008-04-01","""ISO""",10,2
