"tag","host","freq_tag_by_response","response_per_host","average_tokens","min_tokens","max_tokens"
"Name","sdmdataaccess.nrcs.usda.gov",1767,1,3.00,3,3
"Name","seamlessrnc.nauticalcharts.noaa.gov",1767,1,1.00,1,1
"Name","sedac.ciesin.org",1767,5,1.00,1,1
"Name","sedsh127.sedsh.gov.uk",1767,4,1.00,1,1
"Name","services.azgs.az.gov",1767,106,1.18,1,5
"Name","services.information.qld.gov.au",1767,1,1.00,1,1
"Name","services.nationalmap.gov",1767,15,1.00,1,1
"Name","services.wvgis.wvu.edu",1767,16,1.00,1,1
"Name","sg.geodatenzentrum.de",1767,6,1.00,1,1
"Name","srfs.wr.usgs.gov",1767,2,59.50,1,118
"Name","stellwagen.er.usgs.gov",1767,220,1.00,1,1
"Name","storms.ngs.noaa.gov",1767,4,2.00,2,2
"Name","tds.glos.us",1767,2,1.00,1,1
"Name","tigerweb.geo.census.gov",1767,29,1.00,1,1
"Name","vmap0.tiles.osgeo.org",1767,1,1.00,1,1
"Name","w4.jcommops.org",1767,6,1.00,1,1
"Name","water.discomap.eea.europa.eu",1767,8,1.00,1,1
